date,price
1971-03-17,3.0150
1971-03-18,3.0338
1971-03-19,3.0225
1971-03-22,3.0213
1971-03-23,3.0338
1971-03-24,3.0413
1971-03-25,3.0438
1971-03-26,3.0450
1971-03-29,3.0350
1971-03-30,2.9963
1971-03-31,3.0050
1971-04-01,2.9663
1971-04-02,2.9713
1971-04-05,2.9313
1971-04-06,2.9338
1971-04-07,2.9213
1971-04-08,2.8975
1971-04-12,2.8975
1971-04-13,2.9188
1971-04-14,2.9175
1971-04-15,2.9300
1971-04-16,2.9188
1971-04-19,2.9213
1971-04-20,2.9325
1971-04-21,2.9363
1971-04-22,2.9375
1971-04-23,2.9000
1971-04-26,2.8775
1971-04-27,2.8895
1971-04-28,2.8975
1971-04-29,2.9215
1971-04-30,2.9510
1971-05-03,2.9525
1971-05-04,2.9575
1971-05-05,3.0000
1971-05-06,3.0013
1971-05-07,2.9800
1971-05-10,2.9838
1971-05-11,2.9975
1971-05-12,3.0013
1971-05-13,2.9800
1971-05-14,2.9875
1971-05-17,2.9925
1971-05-18,2.9800
1971-05-19,2.9975
1971-05-20,3.0475
1971-05-21,3.0725
1971-05-24,3.0675
1971-05-25,3.1088
1971-05-26,3.0975
1971-05-27,3.1175
1971-05-28,3.1100
1971-06-01,3.1275
1971-06-02,3.0925
1971-06-03,3.1075
1971-06-04,3.1225
1971-06-07,3.1475
1971-06-08,3.1825
1971-06-09,3.1725
1971-06-10,3.1700
1971-06-11,3.1625
1971-06-14,3.1775
1971-06-15,3.1950
1971-06-16,3.2500
1971-06-17,3.2500
1971-06-18,3.2613
1971-06-21,3.2325
1971-06-22,3.2700
1971-06-23,3.2425
1971-06-24,3.2263
1971-06-25,3.2303
1971-06-28,3.2445
1971-06-29,3.2498
1971-06-30,3.2340
1971-07-01,3.2650
1971-07-02,3.3050
1971-07-06,3.2875
1971-07-07,3.3225
1971-07-08,3.3088
1971-07-09,3.2975
1971-07-12,3.3988
1971-07-13,3.3925
1971-07-14,3.4175
1971-07-15,3.4338
1971-07-16,3.4875
1971-07-19,3.4850
1971-07-20,3.4275
1971-07-21,3.4488
1971-07-22,3.4725
1971-07-23,3.4025
1971-07-26,3.3588
1971-07-27,3.3563
1971-07-28,3.3155
1971-07-29,3.2943
1971-07-30,3.3020
1971-08-02,3.3150
1971-08-03,3.3300
1971-08-04,3.2650
1971-08-05,3.2338
1971-08-06,3.2475
1971-08-09,3.2725
1971-08-10,3.2675
1971-08-11,3.2950
1971-08-12,3.2425
1971-08-13,3.2375
1971-08-16,3.2650
1971-08-17,3.3350
1971-08-18,3.3450
1971-08-19,3.2850
1971-08-20,3.2875
1971-08-23,3.2675
1971-08-24,3.2700
1971-08-25,3.2675
1971-08-26,3.1735
1971-08-27,3.1820
1971-08-30,3.1568
1971-08-31,3.1490
1971-09-01,3.2100
1971-09-02,3.2375
1971-09-03,3.2400
1971-09-07,3.2675
1971-09-08,3.2138
1971-09-09,3.2088
1971-09-10,3.1975
1971-09-13,3.1363
1971-09-14,3.1500
1971-09-15,3.1188
1971-09-16,3.0925
1971-09-17,3.0775
1971-09-20,3.0738
1971-09-21,3.0700
1971-09-22,3.0900
1971-09-23,3.0688
1971-09-24,3.0875
1971-09-27,3.1175
1971-09-28,3.1238
1971-09-29,3.1050
1971-09-30,3.0975
1971-10-01,3.1100
1971-10-04,3.0775
1971-10-05,3.0775
1971-10-06,3.1050
1971-10-07,3.1438
1971-10-08,3.1600
1971-10-11,3.1775
1971-10-12,3.1675
1971-10-13,3.2063
1971-10-14,3.2275
1971-10-15,3.2400
1971-10-18,3.2050
1971-10-19,3.2625
1971-10-20,3.2275
1971-10-21,3.2550
1971-10-22,3.2413
1971-10-25,3.2400
1971-10-26,3.1815
1971-10-27,3.1903
1971-10-28,3.2233
1971-10-29,3.2245
1971-11-01,3.1863
1971-11-02,3.1800
1971-11-03,3.1913
1971-11-04,3.2000
1971-11-05,3.2375
1971-11-08,3.2238
1971-11-09,3.2088
1971-11-10,3.1825
1971-11-11,3.1575
1971-11-12,3.0588
1971-11-15,3.0450
1971-11-16,3.0800
1971-11-17,3.0900
1971-11-18,3.0950
1971-11-19,3.0800
1971-11-22,3.0663
1971-11-23,3.1075
1971-11-24,3.1375
1971-11-26,3.1388
1971-11-29,3.1100
1971-11-30,3.1050
1971-12-01,3.1225
1971-12-02,3.1225
1971-12-03,3.1550
1971-12-06,3.1338
1971-12-07,3.1113
